2020-08-12 17:55:32,318 INFO  - WORKER OUTPUT: Complete processing C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862
2020-08-12 17:55:32,469 INFO  - WORKER OUTPUT: Revit Worker Exiting
2020-08-12 17:55:35,115 INFO  - WORKER OUTPUT: Time : 36 Seconds
2020-08-12 17:55:35,115 INFO  - WORKER OUTPUT: CSharp rvt translate finished.
2020-08-12 17:55:35,193 INFO  - WORKER OUTPUT: Python rvt worker finished.
2020-08-12 17:55:35,209 INFO  - WORKER OUTPUT: >> TASK END: rvt2md 0:00:47.657132
2020-08-12 17:55:35,209 INFO  - WORKER OUTPUT: ___________________________________________
2020-08-12 17:55:35,209 INFO  - WORKER OUTPUT: >> TASK START: ConnectLinkIdTask 2020-08-12 17:55:35.193475
2020-08-12 17:55:35,209 INFO  - WORKER OUTPUT: ConnectLinkIdTask only run in integrateDrawings mode
2020-08-12 17:55:35,209 INFO  - WORKER OUTPUT: >> TASK END: ConnectLinkIdTask 0:00:00
2020-08-12 17:55:35,209 INFO  - WORKER OUTPUT: ___________________________________________
2020-08-12 17:55:35,209 INFO  - WORKER OUTPUT: >> TASK START: proto2db 2020-08-12 17:55:35.193475
2020-08-12 17:55:35,209 INFO  - WORKER OUTPUT: C:\Job\worker\rvt-translate\20200812-4c8bf6\proto2db\bin/proto2db.exe --input "C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\property" --output "C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\property"
2020-08-12 17:55:35,224 INFO  - WORKER OUTPUT: C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\property/modeldrive.db
2020-08-12 17:55:35,318 INFO  - WORKER OUTPUT: Done
2020-08-12 17:55:35,318 INFO  - WORKER OUTPUT: >> TASK END: proto2db 0:00:00.125017
2020-08-12 17:55:35,318 INFO  - WORKER OUTPUT: ___________________________________________
2020-08-12 17:55:35,318 INFO  - WORKER OUTPUT: >> TASK START: elementClassifySingle 2020-08-12 17:55:35.318492
2020-08-12 17:55:35,318 INFO  - WORKER OUTPUT: C:\Job\worker\rvt-translate\20200812-4c8bf6\regularize\bin/ElementClassifySingle.exe --input "C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\property/modeldrive.db" --output "C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\metadata/elements_class.json"
2020-08-12 17:55:35,365 INFO  - WORKER OUTPUT: Loading database...C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\property/modeldrive.db
2020-08-12 17:55:35,599 INFO  - WORKER OUTPUT: Classify...
2020-08-12 17:55:35,880 INFO  - WORKER OUTPUT: >> TASK END: elementClassifySingle 0:00:00.562503
2020-08-12 17:55:35,896 INFO  - WORKER OUTPUT: ___________________________________________
2020-08-12 17:55:35,896 INFO  - WORKER OUTPUT: >> TASK START: thumbnail 2020-08-12 17:55:35.880995
